segment                                   peek  keep  take  seal  free
spin_182                                     0     0     1     2     0
spin_126                                     0     2     1     0     0
spin_11                                      0     0     1     2     0
FID_MAIN_C1671                               0     2     1     0     1
FID_F64_SHOW_TOON_FAST                       0     0     1     2     0
FID_F64_SHOW_JSON_FAST                       0     0     1     2     0
FID_ENCODE_PUT_JOIN                          0     0     1     2     0
FID_DECODE_SCAN_END                          0     1     0     2     0
FID_DECODE_LEN_REV                           0     0     1     2     0
FID_DECODE_KV                                0     0     1     2     0
FID_DECODE_DECODE_K1195                      0     3     0     0     0
FID_CLI_UNKNOWN_LONG                         0     3     0     0     0
FID_CLI_ON_TOK                               0     3     0     0     0
FID_BIGNAT_CMP                               0     0     3     0     0
FID_BIGNAT_ADD                               0     0     3     0     0
spin_94                                      0     0     2     0     0
spin_71                                      0     0     0     2     0
spin_49                                      0     0     0     2     0
spin_442                                     0     0     0     2     0
spin_433                                     0     0     0     2     0
spin_429                                     0     1     1     0     0
spin_420                                     0     0     0     2     0
spin_416                                     0     0     0     2     0
spin_401                                     0     0     0     2     0
spin_374                                     0     0     0     2     0
spin_367                                     0     0     2     0     0
spin_354                                     0     0     0     2     0
spin_353                                     0     2     0     0     0
spin_352                                     0     0     0     2     0
spin_350                                     0     1     1     0     0
spin_336                                     0     0     0     2     0
spin_334                                     0     0     0     2     0
spin_333                                     0     0     0     2     0
spin_332                                     0     0     0     2     0
spin_329                                     0     0     0     2     0
spin_320                                     0     0     0     2     0
spin_319                                     0     0     2     0     0
spin_312                                     0     0     0     2     0
spin_310                                     0     0     0     2     0
spin_299                                     0     0     2     0     0
spin_293                                     0     0     2     0     0
spin_290                                     0     0     0     2     0
spin_283                                     0     0     0     2     0
spin_275                                     0     0     0     2     0
spin_259                                     0     1     1     0     0
spin_253                                     0     0     0     2     0
spin_247                                     0     0     0     2     0
spin_240                                     0     1     1     0     0
spin_239                                     0     0     0     2     0
spin_234                                     0     0     0     2     0
spin_230                                     0     0     0     2     0
spin_225                                     0     2     0     0     0
spin_220                                     0     1     1     0     0
spin_202                                     0     0     0     2     0
spin_200                                     0     0     2     0     0
spin_186                                     0     1     1     0     0
spin_185                                     0     1     1     0     0
spin_174                                     0     0     2     0     0
spin_169                                     0     0     0     2     0
spin_157                                     0     1     1     0     0
spin_153                                     0     1     1     0     0
spin_142                                     0     1     1     0     0
spin_136                                     0     1     1     0     0
spin_134                                     0     2     0     0     0
spin_132                                     0     0     2     0     0
spin_13                                      0     0     0     2     0
spin_117                                     0     0     0     2     0
spin_113                                     0     0     2     0     0
spin_105                                     0     0     2     0     0
FID_U32_SHOW_GO                              0     0     0     2     0
FID_STRING_TAKE_K370                         0     0     0     2     0
FID_STRING_APPEND_K1416                      0     0     0     2     0
FID_MAIN_C1679                               0     2     0     0     3
FID_MAIN_C1678                               0     2     0     0     0
FID_MAIN_C1668                               0     2     0     0     3
