segment                                   peek  keep  take  seal  free
spin_398                                     0     0     1     2     0
spin_389                                     0     0     1     2     0
spin_381                                     0     0     1     2     0
spin_377                                     0     0     1     2     0
spin_375                                     0     0     1     2     0
spin_372                                     0     0     1     2     0
spin_37                                      0     0     1     2     0
spin_364                                     0     0     1     2     0
spin_342                                     0     0     1     2     0
spin_34                                      0     0     1     2     0
spin_313                                     0     0     1     2     0
spin_311                                     0     0     1     2     0
spin_30                                      0     0     1     2     0
spin_29                                      0     0     1     2     0
spin_280                                     0     0     3     0     0
spin_28                                      0     0     1     2     0
spin_265                                     0     0     1     2     0
spin_259                                     0     0     1     2     0
spin_258                                     0     3     0     0     0
spin_25                                      0     0     1     2     0
spin_212                                     0     0     1     2     0
spin_19                                      0     0     1     2     0
spin_186                                     0     0     3     0     0
spin_183                                     0     0     1     2     0
spin_157                                     0     0     3     0     0
spin_143                                     0     0     3     0     0
spin_11                                      0     0     1     2     0
spin_103                                     0     0     1     2     0
FID_TEXT_KT_PUT_GO_K589                      0     0     0     3     0
FID_TEXT_KT_PUT_GO_K587                      0     0     0     3     0
FID_MAIN_C1790                               0     2     1     0     1
FID_JSON_KM_PUT_GO_K429                      0     0     0     3     0
FID_JSON_KM_PUT_GO_K427                      0     0     0     3     0
FID_F64_SHOW_TOON_FAST                       0     0     1     2     0
FID_F64_SHOW_JSON_FAST                       0     0     1     2     0
FID_ENCODE_ROW_LINE                          0     2     1     0     0
FID_ENCODE_PUT_JOIN                          0     0     1     2     0
FID_ENCODE_PUT_CELLS_SEQ                     0     0     1     2     0
FID_DECODE_X_NORM_K804                       0     0     0     3     0
FID_DECODE_XM_SET_GO_K120                    0     0     0     3     0
FID_DECODE_XM_SET_GO_K118                    0     0     0     3     0
FID_DECODE_SCAN_END                          0     1     0     2     0
FID_DECODE_LEN_REV                           0     0     1     2     0
FID_DECODE_KV                                0     0     1     2     0
FID_DECODE_DECODE_K1313                      0     3     0     0     0
FID_CLI_UNKNOWN_LONG                         0     3     0     0     0
FID_CLI_ON_TOK                               0     3     0     0     0
FID_BIGNAT_CMP                               0     0     3     0     0
FID_BIGNAT_ADD                               0     0     3     0     0
spin_78                                      0     0     0     2     0
spin_66                                      0     0     2     0     0
spin_49                                      0     0     0     2     0
spin_418                                     0     0     0     2     0
spin_409                                     0     0     0     2     0
spin_405                                     0     1     1     0     0
spin_396                                     0     0     0     2     0
spin_392                                     0     0     0     2     0
spin_378                                     0     0     0     2     0
spin_354                                     0     0     0     2     0
spin_347                                     0     0     2     0     0
spin_334                                     0     0     0     2     0
spin_333                                     0     0     0     2     0
spin_317                                     0     0     0     2     0
spin_316                                     0     0     0     2     0
spin_315                                     0     0     0     2     0
spin_314                                     0     0     0     2     0
spin_305                                     0     0     0     2     0
spin_304                                     0     0     2     0     0
spin_297                                     0     0     0     2     0
spin_295                                     0     0     0     2     0
spin_284                                     0     0     2     0     0
spin_277                                     0     0     0     2     0
spin_252                                     0     0     0     2     0
spin_247                                     0     0     0     2     0
spin_239                                     0     0     0     2     0
spin_234                                     0     0     0     2     0
spin_230                                     0     0     0     2     0
spin_225                                     0     2     0     0     0
spin_204                                     0     0     0     2     0
spin_201                                     0     0     2     0     0
spin_194                                     0     1     1     0     0
spin_185                                     0     1     1     0     0
spin_177                                     0     0     2     0     0
spin_170                                     0     0     0     2     0
spin_162                                     0     1     1     0     0
spin_139                                     0     1     1     0     0
spin_137                                     0     0     2     0     0
spin_13                                      0     0     0     2     0
spin_124                                     0     0     0     2     0
spin_121                                     0     1     1     0     0
spin_101                                     0     0     2     0     0
FID_U32_SHOW_GO                              0     0     0     2     0
FID_TEXT_KT_PUT_GO_K590                      0     0     0     2     0
