Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.28     0.00       58     0.00     0.00  WL_FID_ENCODE_ROW_LINE
  0.00      0.28     0.00       58     0.00     0.00  WL_FID_ENCODE_ROW_LINE_K1076
  0.00      0.28     0.00       58     0.00     0.00  WL_FID_ENCODE_ROW_OK
  0.00      0.28     0.00       56     0.00     0.00  spin_61
  0.00      0.28     0.00       34     0.00     0.00  WL_FID_CLO_APPLY
  0.00      0.28     0.00       30     0.00     0.00  spin_19
  0.00      0.28     0.00       29     0.00     0.00  spin_107
  0.00      0.28     0.00       28     0.00     0.00  WL_FID_ENCODE_EMIT_K1275
  0.00      0.28     0.00       28     0.00     0.00  WL_FID_ENCODE_LINE_HDR
  0.00      0.28     0.00       28     0.00     0.00  WL_FID_ENCODE_LINE_HDR_K1186
  0.00      0.28     0.00       28     0.00     0.00  WL_FID_ENCODE_VKIND_K1164
  0.00      0.28     0.00       28     0.00     0.00  WL_FID_TEXT_KS_PUT_GO_K736
  0.00      0.28     0.00       28     0.00     0.00  spin_160
  0.00      0.28     0.00       28     0.00     0.00  spin_236
  0.00      0.28     0.00       28     0.00     0.00  spin_237
  0.00      0.28     0.00       28     0.00     0.00  spin_319
  0.00      0.28     0.00       24     0.00     0.00  io_mem
  0.00      0.28     0.00       11     0.00     0.00  spin_433
  0.00      0.28     0.00        9     0.00     0.00  WL_FID_ENTER
  0.00      0.28     0.00        9     0.00     0.00  WL_FID_EXIT
  0.00      0.28     0.00        9     0.00    28.57  corpus_eval
  0.00      0.28     0.00        8     0.00     0.00  WL_FID_IO_BIND
  0.00      0.28     0.00        8     0.00     0.00  WL_FID_IO_BIND_C1959
  0.00      0.28     0.00        8     0.00     0.00  WL_FID_IO_BIND_K1960
  0.00      0.28     0.00        7     0.00     2.86  io_exec
  0.00      0.28     0.00        4     0.00    62.15  io_step
  0.00      0.28     0.00        4     0.00     0.00  io_sync
  0.00      0.28     0.00        4     0.00     0.00  spin_215
  0.00      0.28     0.00        3     0.00     0.00  WL_FID_BIGNAT_STRIP_K995
  0.00      0.28     0.00        3     0.00     0.00  WL_FID_CLI_RESOLVE
  0.00      0.28     0.00        3     0.00     0.00  WL_FID_CLI_SCAN
  0.00      0.28     0.00        3     0.00     0.00  WL_FID_CLI_TOKS_GO
  0.00      0.28     0.00        3     0.00     0.00  io_str
  0.00      0.28     0.00        3     0.00     0.94  io_wait
  0.00      0.28     0.00        3     0.00     0.00  io_work
  0.00      0.28     0.00        3     0.00     0.00  spin_148
  0.00      0.28     0.00        3     0.00     0.00  spin_339
  0.00      0.28     0.00        3     0.00     0.00  spin_52
  0.00      0.28     0.00        2     0.00     0.00  WL_FID_CLI_COMMIT
  0.00      0.28     0.00        2     0.00     0.00  WL_FID_CLI_C_ADD
  0.00      0.28     0.00        2     0.00     0.00  WL_FID_CLI_ON_TOK
  0.00      0.28     0.00        2     0.00     0.00  WL_FID_CLI_SCAN_K1896
  0.00      0.28     0.00        2     0.00     0.00  WL_FID_CLI_TOKS_GO_K1838
  0.00      0.28     0.00        2     0.00     0.00  WL_FID_CLI_TOKS_STEP
  0.00      0.28     0.00        2     0.00     0.00  WL_FID_CLI_TOKS_STEP_K1755
  0.00      0.28     0.00        2     0.00     0.00  WL_FID_CLI_TOK_WORD
  0.00      0.28     0.00        2     0.00     0.00  WL_FID_ENCODE_PUT_JOIN_K1079
  0.00      0.28     0.00        2     0.00     0.00  WL_FID_FILE_READ_BYTES
  0.00      0.28     0.00        2     0.00     0.00  WL_FID_IO_PURE
  0.00      0.28     0.00        2     0.00     0.00  WL_FID_LIST_APPEND
  0.00      0.28     0.00        2     0.00     0.00  WL_FID_READ_LOOP
  0.00      0.28     0.00        2     0.00     0.00  file_read_bytes_call
  0.00      0.28     0.00        2     0.00     1.41  file_read_bytes_pack
  0.00      0.28     0.00        2     0.00     0.00  file_read_bytes_run
  0.00      0.28     0.00        2     0.00     0.00  spin_448
  0.00      0.28     0.00        1     0.00     0.00  WL_FID_BIGNAT_SHL
  0.00      0.28     0.00        1     0.00     0.00  WL_FID_BIGNAT_SHL_BITS
  0.00      0.28     0.00        1     0.00     0.00  WL_FID_BIGNAT_SHL_BITS_K1124
  0.00      0.28     0.00        1     0.00     0.00  WL_FID_BIGNAT_SHL_K1237
  0.00      0.28     0.00        1     0.00     0.00  WL_FID_BIGNAT_SHR
  0.00      0.28     0.00        1     0.00     0.00  WL_FID_BIGNAT_SHR_BITS
  0.00      0.28     0.00        1     0.00     0.00  WL_FID_BIGNAT_SHR_K880
  0.00      0.28     0.00        1     0.00     0.00  WL_FID_BIGNAT_STRIP
  0.00      0.28     0.00        1     0.00     0.00  WL_FID_CLI_COMMIT_K1798
  0.00      0.28     0.00        1     0.00     0.00  WL_FID_CLI_COMMIT_K1799
  0.00      0.28     0.00        1     0.00     0.00  WL_FID_CLI_COMMIT_K1800
  0.00      0.28     0.00        1     0.00     0.00  WL_FID_CLI_CONVERT_K1629
  0.00      0.28     0.00        1     0.00     9.57  WL_FID_CLI_CONVERT_K1637
  0.00      0.28     0.00        1     0.00     0.00  WL_FID_CLI_FLAG_AFTER
  0.00      0.28     0.00        1     0.00     0.00  WL_FID_CLI_FLAG_AFTER_K1686
  0.00      0.28     0.00        1     0.00     0.00  WL_FID_CLI_ON_PLAIN
