Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 28.30      0.15     0.15  8665135     0.00     0.00  term_drop
 15.09      0.23     0.08     3676     0.02     0.02  heap_alloc_miss
 13.21      0.30     0.07  6127399     0.00     0.00  span_fade
  7.55      0.34     0.04 19184457     0.00     0.00  rfc_wrap
  3.77      0.36     0.02    94186     0.00     0.00  WL_FID_DECODE_PRIM
  3.77      0.38     0.02        4     5.00     5.00  io_cstr
  3.77      0.40     0.02                             _init
  1.89      0.41     0.01  1134209     0.00     0.00  spin_7
  1.89      0.42     0.01  1132852     0.00     0.00  WL_FID_DECODE_SCAN_GO
  1.89      0.43     0.01  1132851     0.00     0.00  WL_FID_DECODE_SCAN_CH
  1.89      0.44     0.01   421293     0.00     0.00  spin_215
  1.89      0.45     0.01   336948     0.00     0.00  WL_FID_STRING_APPEND_K1720
  1.89      0.46     0.01   201270     0.00     0.00  spin_305
  1.89      0.47     0.01   147731     0.00     0.00  WL_FID_JSON_W
  1.89      0.48     0.01   114487     0.00     0.00  spin_148
  1.89      0.49     0.01    93776     0.00     0.00  WL_FID_F64_LITERAL
  1.89      0.50     0.01    93776     0.00     0.00  spin_88
  1.89      0.51     0.01    75903     0.00     0.00  WL_FID_DECODE_DECIDE
  1.89      0.52     0.01    75901     0.00     0.00  spin_218
  1.89      0.53     0.01    60937     0.00     0.00  WL_FID_DECODE_ATTACH
  0.00      0.53     0.00  1132851     0.00     0.00  WL_FID_DECODE_SCAN_GO_K1014
  0.00      0.53     0.00   848187     0.00     0.00  spin_11
  0.00      0.53     0.00   805912     0.00     0.00  spin_10
  0.00      0.53     0.00   354913     0.00     0.00  spin_22
  0.00      0.53     0.00   332437     0.00     0.00  spin_92
  0.00      0.53     0.00   331070     0.00     0.00  spin_107
  0.00      0.53     0.00   295600     0.00     0.00  WL_FID_F64_DIGITS_TEXT_K644
  0.00      0.53     0.00   295600     0.00     0.00  WL_FID_LIST_LENGTH_K815
  0.00      0.53     0.00   282569     0.00     0.00  spin_71
  0.00      0.53     0.00   259293     0.00     0.00  WL_FID_BIGNAT_STRIP_K995
  0.00      0.53     0.00   259231     0.00     0.00  spin_34
  0.00      0.53     0.00   259230     0.00     0.00  spin_52
  0.00      0.53     0.00   186781     0.00     0.00  spin_339
  0.00      0.53     0.00   151431     0.00     0.00  ctr_take
  0.00      0.53     0.00   151431     0.00     0.00  spare_free
  0.00      0.53     0.00   147730     0.00     0.00  spin_345
  0.00      0.53     0.00   137043     0.00     0.00  WL_FID_JSON_W_K1141
  0.00      0.53     0.00   127808     0.00     0.00  WL_FID_STRING_APPEND
  0.00      0.53     0.00   121677     0.00     0.00  WL_FID_DECODE_PRIMS_GO
  0.00      0.53     0.00    98656     0.00     0.00  spin_86
  0.00      0.53     0.00    94821     0.00     0.00  spin_183
  0.00      0.53     0.00    93776     0.00     0.00  WL_FID_DECODE_PRIM_K673
  0.00      0.53     0.00    93776     0.00     0.00  spin_89
  0.00      0.53     0.00    90488     0.00     0.00  WL_FID_F64_SHOW_JSON_FAST
  0.00      0.53     0.00    90488     0.00     0.00  WL_FID_F64_TOKEN_VALUE
  0.00      0.53     0.00    90488     0.00     0.00  WL_FID_JSON_W_K1138
  0.00      0.53     0.00    87073     0.00     0.00  WL_FID_BIGNAT_SHL_BITS_K1124
  0.00      0.53     0.00    86794     0.00     0.00  WL_FID_DECODE_PRIMS_GO_K273
  0.00      0.53     0.00    86480     0.00     0.00  WL_FID_BIGNAT_SHL_BITS
  0.00      0.53     0.00    86418     0.00     0.00  WL_FID_BIGNAT_SHR
  0.00      0.53     0.00    86418     0.00     0.00  WL_FID_BIGNAT_SHR_BITS
