Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      4.24     0.00     8425     0.00     0.00  WL_FID_ENCODE_EMIT_K1274
  0.00      4.24     0.00     8425     0.00     0.00  WL_FID_ENCODE_LINE_INLINE
  0.00      4.24     0.00     8425     0.00     0.00  WL_FID_ENCODE_LINE_INLINE_K1183
  0.00      4.24     0.00     8425     0.00     0.00  WL_FID_ENCODE_LINE_INLINE_K1184
  0.00      4.24     0.00     8425     0.00     0.00  WL_FID_ENCODE_PUT_JOIN_K1078
  0.00      4.24     0.00     7954     0.00     0.00  WL_FID_ENCODE_ROWS_OK_GO
  0.00      4.24     0.00     7145     0.00     0.00  heap_hand
  0.00      4.24     0.00     6258     0.00     0.00  WL_FID_BIGNAT_CMP_K1348
  0.00      4.24     0.00     5774     0.00     0.00  WL_FID_BIGNAT_SHL_BITS_K1124
  0.00      4.24     0.00     5383     0.00     0.00  WL_FID_ENCODE_ROWS_OK_GO_K847
  0.00      4.24     0.00     5383     0.00     0.00  WL_FID_ENCODE_ROW_OK
  0.00      4.24     0.00     5015     0.00     0.00  WL_FID_ENCODE_ROWS
  0.00      4.24     0.00     4919     0.00     0.00  WL_FID_STRING_APPEND
  0.00      4.24     0.00     4772     0.00     0.00  spin_183
  0.00      4.24     0.00     4402     0.00     0.00  WL_FID_ENCODE_PUT_PRIM_K1087
  0.00      4.24     0.00     4402     0.00     0.00  WL_FID_F64_SHOW_TOON_FAST
  0.00      4.24     0.00     4402     0.00     0.00  WL_FID_F64_TOKEN_VALUE
  0.00      4.24     0.00     4402     0.00     0.00  WL_FID_JSON_NUM_VALUE
  0.00      4.24     0.00     4402     0.00     0.00  WL_FID_JSON_STEP_K1258
  0.00      4.24     0.00     4402     0.00     0.00  WL_FID_JSON_STEP_K1259
  0.00      4.24     0.00     4326     0.00     0.00  WL_FID_BIGNAT_SHL_BITS
  0.00      4.24     0.00     4311     0.00     0.00  WL_FID_BIGNAT_SHR
  0.00      4.24     0.00     4311     0.00     0.00  WL_FID_BIGNAT_SHR_BITS
  0.00      4.24     0.00     4311     0.00     0.00  WL_FID_BIGNAT_SHR_K880
  0.00      4.24     0.00     4212     0.00     0.00  WL_FID_BIGNAT_SHL
  0.00      4.24     0.00     4212     0.00     0.00  WL_FID_BIGNAT_SHL_K1237
  0.00      4.24     0.00     4092     0.00     0.00  WL_FID_BIGNAT_STRIP
  0.00      4.24     0.00     4092     0.00     0.00  WL_FID_F64_DIGITS_TEXT
  0.00      4.24     0.00     4092     0.00     0.00  WL_FID_F64_INT_FIT
  0.00      4.24     0.00     4092     0.00     0.00  WL_FID_F64_PLAIN
  0.00      4.24     0.00     4092     0.00     0.00  WL_FID_F64_ROUND
  0.00      4.24     0.00     4092     0.00     0.00  WL_FID_F64_SHORTEST_FAST
  0.00      4.24     0.00     4092     0.00     0.00  WL_FID_F64_SHORTEST_FAST_K915
  0.00      4.24     0.00     4092     0.00     0.00  WL_FID_F64_SHOW_TOON_FAST_K983
  0.00      4.24     0.00     4092     0.00     0.00  WL_FID_F64_SHOW_TOON_FAST_K984
  0.00      4.24     0.00     4092     0.00     0.00  WL_FID_F64_SHOW_TOON_FAST_K985
  0.00      4.24     0.00     4092     0.00     0.00  WL_FID_F64_SIGNED
  0.00      4.24     0.00     4092     0.00     0.00  WL_FID_LIST_LENGTH
  0.00      4.24     0.00     4084     0.00     0.00  WL_FID_ENCODE_CTX_ITEM
  0.00      4.24     0.00     4084     0.00     0.00  WL_FID_ENCODE_CTX_ITEM_K1167
  0.00      4.24     0.00     4084     0.00     0.00  WL_FID_ENCODE_EMIT_K1295
  0.00      4.24     0.00     4084     0.00     0.00  WL_FID_ENCODE_EMIT_K1296
  0.00      4.24     0.00     4074     0.00     0.00  WL_FID_ENCODE_CTX_FIRST
  0.00      4.24     0.00     4074     0.00     0.00  WL_FID_ENCODE_CTX_FIRST_K1172
  0.00      4.24     0.00     4074     0.00     0.00  WL_FID_ENCODE_EMIT_K1281
  0.00      4.24     0.00     4074     0.00     0.00  WL_FID_ENCODE_EMIT_K1282
  0.00      4.24     0.00     4074     0.00     0.00  WL_FID_ENCODE_EMIT_K1283
  0.00      4.24     0.00     4074     0.00     0.00  WL_FID_ENCODE_EMIT_K1284
  0.00      4.24     0.00     4071     0.00     0.00  WL_FID_F64_INT_FIT_K806
  0.00      4.24     0.00     4071     0.00     0.00  WL_FID_F64_PLAIN_K750
  0.00      4.24     0.00     4053     0.00     0.00  WL_FID_STRING_REPEAT
  0.00      4.24     0.00     4032     0.00     0.00  WL_FID_F64_PLAIN_K751
  0.00      4.24     0.00     4012     0.00     0.00  WL_FID_F64_BIG_OF_NAT
  0.00      4.24     0.00     4012     0.00     0.00  WL_FID_F64_FROM_NAT
  0.00      4.24     0.00     4012     0.00     0.00  WL_FID_F64_FROM_NAT_K1214
  0.00      4.24     0.00     4012     0.00     0.00  WL_FID_F64_ROUND_K1231
  0.00      4.24     0.00     4012     0.00     0.00  WL_FID_F64_TOKEN_VALUE_K1053
  0.00      4.24     0.00     4012     0.00     0.00  WL_FID_JSON_NUM_VALUE_K1152
  0.00      4.24     0.00     3588     0.00     0.00  WL_FID_ENCODE_PUT_CELLS_SEQ_K857
  0.00      4.24     0.00     3588     0.00     0.00  WL_FID_ENCODE_PUT_ROW
  0.00      4.24     0.00     3588     0.00     0.00  WL_FID_ENCODE_ROWS_K1181
